"","toCode","fromCode","rate","dis","orgGDP","amount","areaX","areaY","Province","Population","Birth_Rate","Avg_Life","GDP_PC","Unemploy_Rate","Flat_Rates","Price_Rates","City_Income","Country_income","Green_Rate","Disasters","Stu_Rate_H","Low_Income","Low_Income_Insurance"
"49",45,12,0,"2389",72994,0,11920,236700,"广西壮族自治区",4610,14.13,75.11,20219,3.7,3772.47,103,30673,5122.78,35,140,1530,57.3,228
"50",46,12,0,"2792",72994,0,11920,34000,"海南省",869,14.71,76.3,23831,3,8943.45,104.8,30775,5469.21,42.6,3,2036,17.1,250
"51",50,12,0,"1954",72994,0,11920,82400,"重庆市",2885,9.17,75.7,27596,3.9,4733.84,103.2,34727,5500.74,40.6,51,2413,56.9,256
"52",51,12,0,"1897",72994,0,11920,488000,"四川省",8045,8.93,74.75,21182,4.1,4917.88,103.2,32567,5479.54,37.9,197,1790,189.3,210
"53",52,12,0,"2364",72994,0,11920,170000,"贵州省",3479,13.96,71.1,13119,3.6,3888.78,102.9,30433,3577.42,29.6,123,1109,54.3,212
"54",53,12,0,"2923",72994,0,11920,394000,"云南省",4602,13.1,69.54,15752,4.2,3635.38,103.7,29195,4526.17,37.3,277,1391,93.1,206
"55",54,12,0,"3740",72994,0,11920,1220000,"西藏自治区",300,15.8,68.17,17027,4,3474.51,102.2,49898,4135.92,25.4,7,1373,4.3,306
"56",61,12,0,"1107",72994,0,11920,205800,"陕西省",3735,9.73,74.68,27133,3.9,4949.2,104,33384,4572.17,38.3,318,3208,84.6,284
"57",62,12,0,"1626",72994,0,11920,454430,"甘肃省",2560,12.05,72.23,16113,3.2,3318.24,104.1,29096,3525.35,27.1,1821,1882,88.1,189
"58",63,12,0.000769822940723634,"1897",72994,1,11920,721000,"青海省",563,14.94,69.96,24115,3.8,3248.08,105.4,36121,3998.17,29.4,0,1119,23.5,232
"59",64,12,0,"1316",72994,0,11920,66400,"宁夏回族自治区",633,14.14,73.38,26860,4.4,3732.19,104.1,37166,5164.62,38.8,0,1868,20.8,212
"60",65,12,0.000769822940723634,"3330",72994,1,11920,1664897,"新疆维吾尔自治区",2185,15.99,72.35,25034,3.2,3548.79,104.3,32003,5214.87,36.4,13,1467,96,183
"61",11,13,0.108701695857659,"292",28668,782,190000,16411,"北京市",1962,7.48,80.18,73856,1.4,16851.95,102.4,65158,11802.82,44.15,0,6196,11.7,430
"62",12,13,0.100083402835696,"308",28668,720,190000,11920,"天津市",1299,8.18,78.89,72994,3.6,8744.77,103.5,51489,10367.86,32.1,0,4412,18,450
"63",14,13,0.0337781484570475,"218",28668,243,190000,156000,"山西省",3574,10.68,74.92,26283,3.6,3432.71,103,33057,5369.56,38,4,2132,91.7,231
"64",15,13,0.0208507089241034,"736",28668,150,190000,1183000,"内蒙古自治区",2472,9.3,74.44,47347,3.9,3782.93,103.2,35211,6010.78,33.4,3,1884,84.8,299
"65",21,13,0.00959132610508757,"964",28668,69,190000,148000,"辽宁省",4375,6.68,76.38,42355,3.6,4732.65,103,34437,7070.37,39.3,29,2671,118.6,296
"66",22,13,0.00250208507089241,"1259",28668,18,190000,187000,"吉林省",2747,7.91,76.18,31599,3.8,4363.89,103.7,29003,6782.36,34.1,9,2716,115.6,228
"67",23,13,0.00583819849874896,"1510",28668,42,190000,469000,"黑龙江省",3833,7.35,75.98,27076,4.3,3966.4,103.9,27735,6116.44,34.9,0,2447,155.6,240
"68",31,13,0.00444815123714206,"1118",28668,32,190000,6219,"上海市",2303,7.05,80.26,76074,4.4,14603.24,103.1,66115,13258.32,38.2,0,4300,32.4,450
"69",32,13,0.00514317486794551,"942",28668,37,190000,102658,"江苏省",7869,9.73,76.63,52840,3.2,6554.41,103.8,39772,9209.84,42.1,0,2819,40.9,342
"70",33,13,0.00278009452321379,"1200",28668,20,190000,104141,"浙江省",5447,10.27,77.73,51711,3.2,9838.06,103.8,40640,11855.84,38.3,21,2285,8.8,367
"71",34,13,0.00250208507089241,"915",28668,18,190000,139427,"安徽省",5957,12.7,75.08,20888,3.7,4776.1,103.1,33341,5650.74,37.5,12,1841,84.2,254
"72",35,13,0.00125104253544621,"1859",28668,9,190000,120000,"福建省",3693,11.27,75.76,40025,3.8,7764.29,103.2,32340,7668.83,41,113,2144,18.1,218
"73",36,13,0.000973033083124826,"1278",28668,7,190000,166900,"江西省",4462,13.72,74.33,21253,3.3,4147.7,103,28363,6005.38,46.6,120,2162,98.1,244
"74",37,13,0.000139004726160689,"300",28668,1,190000,157126,"山东省",9588,11.65,76.46,41106,3.4,4447.73,102.9,33321,7100.66,41.5,0,2202,60.6,286
"75",41,13,0,"418",28668,0,190000,167000,"河南省",9405,11.52,74.57,24446,3.4,3500.8,103.5,29819,5978.23,36.6,10,1839,141.9,202
"76",42,13,0,"955",28668,0,190000,187400,"湖北省",5728,10.36,74.87,27906,4.2,4486.39,102.9,31811,6220.02,37.7,24,2906,137.2,252
"77",43,13,0,"1240",28668,0,190000,211829,"湖南省",6570,13.1,74.7,24719,4.2,3790.26,103.1,29670,5933.69,36.6,100,2051,145.1,214
"78",44,13,0.000139004726160689,"1902",28668,1,190000,184800,"广东省",10441,11.18,76.49,44736,2.5,7879.17,103.1,40432,7534.48,41.3,50,2037,40,254
"79",45,13,0.000278009452321379,"2096",28668,2,190000,236700,"广西壮族自治区",4610,14.13,75.11,20219,3.7,3772.47,103,30673,5122.78,35,140,1530,57.3,228
"80",46,13,0.000695023630803447,"2496",28668,5,190000,34000,"海南省",869,14.71,76.3,23831,3,8943.45,104.8,30775,5469.21,42.6,3,2036,17.1,250
"81",50,13,0,"1650",28668,0,190000,82400,"重庆市",2885,9.17,75.7,27596,3.9,4733.84,103.2,34727,5500.74,40.6,51,2413,56.9,256
"82",51,13,0.000278009452321379,"1593",28668,2,190000,488000,"四川省",8045,8.93,74.75,21182,4.1,4917.88,103.2,32567,5479.54,37.9,197,1790,189.3,210
"83",52,13,0.000834028356964137,"2030",28668,6,190000,170000,"贵州省",3479,13.96,71.1,13119,3.6,3888.78,102.9,30433,3577.42,29.6,123,1109,54.3,212
"84",53,13,0,"26119",28668,0,190000,394000,"云南省",4602,13.1,69.54,15752,4.2,3635.38,103.7,29195,4526.17,37.3,277,1391,93.1,206
"85",54,13,0,"3436",28668,0,190000,1220000,"西藏自治区",300,15.8,68.17,17027,4,3474.51,102.2,49898,4135.92,25.4,7,1373,4.3,306
"86",61,13,0,"802",28668,0,190000,205800,"陕西省",3735,9.73,74.68,27133,3.9,4949.2,104,33384,4572.17,38.3,318,3208,84.6,284
"87",62,13,0.000556018904642758,"1321",28668,4,190000,454430,"甘肃省",2560,12.05,72.23,16113,3.2,3318.24,104.1,29096,3525.35,27.1,1821,1882,88.1,189
"88",63,13,0.00347511815401724,"1519",28668,25,190000,721000,"青海省",563,14.94,69.96,24115,3.8,3248.08,105.4,36121,3998.17,29.4,0,1119,23.5,232
"89",64,13,0,"948",28668,0,190000,66400,"宁夏回族自治区",633,14.14,73.38,26860,4.4,3732.19,104.1,37166,5164.62,38.8,0,1868,20.8,212
"90",65,13,0.000695023630803447,"3206",28668,5,190000,1664897,"新疆维吾尔自治区",2185,15.99,72.35,25034,3.2,3548.79,104.3,32003,5214.87,36.4,13,1467,96,183
"91",11,14,0.0422495803021824,"506",26283,151,156000,16411,"北京市",1962,7.48,80.18,73856,1.4,16851.95,102.4,65158,11802.82,44.15,0,6196,11.7,430
"92",12,14,0.0313374370453274,"523",26283,112,156000,11920,"天津市",1299,8.18,78.89,72994,3.6,8744.77,103.5,51489,10367.86,32.1,0,4412,18,450
"93",13,14,0.0159485170677112,"218",26283,57,156000,190000,"河北省",7194,13.22,74.97,28668,3.9,3982.85,103.1,31451,6192.42,42.7,0,1951,88.1,265
"94",15,14,0.0475657526580862,"527",26283,170,156000,1183000,"内蒙古自治区",2472,9.3,74.44,47347,3.9,3782.93,103.2,35211,6010.78,33.4,3,1884,84.8,299
"95",21,14,0.00727476217123671,"1179",26283,26,156000,148000,"辽宁省",4375,6.68,76.38,42355,3.6,4732.65,103,34437,7070.37,39.3,29,2671,118.6,296
"96",22,14,0.000279798545047566,"1473",26283,1,156000,187000,"吉林省",2747,7.91,76.18,31599,3.8,4363.89,103.7,29003,6782.36,34.1,9,2716,115.6,228
"97",23,14,0.00111919418019026,"1725",26283,4,156000,469000,"黑龙江省",3833,7.35,75.98,27076,4.3,3966.4,103.9,27735,6116.44,34.9,0,2447,155.6,240
"98",31,14,0.00531617235590375,"1327",26283,19,156000,6219,"上海市",2303,7.05,80.26,76074,4.4,14603.24,103.1,66115,13258.32,38.2,0,4300,32.4,450
"99",32,14,0.00755456071628428,"1095",26283,27,156000,102658,"江苏省",7869,9.73,76.63,52840,3.2,6554.41,103.8,39772,9209.84,42.1,0,2819,40.9,342
"100",33,14,0.00475657526580862,"1370",26283,17,156000,104141,"浙江省",5447,10.27,77.73,51711,3.2,9838.06,103.8,40640,11855.84,38.3,21,2285,8.8,367
"101",34,14,0.00139899272523783,"1051",26283,5,156000,139427,"安徽省",5957,12.7,75.08,20888,3.7,4776.1,103.1,33341,5650.74,37.5,12,1841,84.2,254
"102",35,14,0.000559597090095132,"1882",26283,2,156000,120000,"福建省",3693,11.27,75.76,40025,3.8,7764.29,103.2,32340,7668.83,41,113,2144,18.1,218
"103",36,14,0.000559597090095132,"1389",26283,2,156000,166900,"江西省",4462,13.72,74.33,21253,3.3,4147.7,103,28363,6005.38,46.6,120,2162,98.1,244
"104",37,14,0.000839395635142697,"509",26283,3,156000,157126,"山东省",9588,11.65,76.46,41106,3.4,4447.73,102.9,33321,7100.66,41.5,0,2202,60.6,286
"105",41,14,0.000839395635142697,"437",26283,3,156000,167000,"河南省",9405,11.52,74.57,24446,3.4,3500.8,103.5,29819,5978.23,36.6,10,1839,141.9,202
"106",42,14,0.000279798545047566,"997",26283,1,156000,187400,"湖北省",5728,10.36,74.87,27906,4.2,4486.39,102.9,31811,6220.02,37.7,24,2906,137.2,252
"107",43,14,0,"1281",26283,0,156000,211829,"湖南省",6570,13.1,74.7,24719,4.2,3790.26,103.1,29670,5933.69,36.6,100,2051,145.1,214
"108",44,14,0.000279798545047566,"1944",26283,1,156000,184800,"广东省",10441,11.18,76.49,44736,2.5,7879.17,103.1,40432,7534.48,41.3,50,2037,40,254
"109",45,14,0,"2138",26283,0,156000,236700,"广西壮族自治区",4610,14.13,75.11,20219,3.7,3772.47,103,30673,5122.78,35,140,1530,57.3,228
"110",46,14,0,"2538",26283,0,156000,34000,"海南省",869,14.71,76.3,23831,3,8943.45,104.8,30775,5469.21,42.6,3,2036,17.1,250
"111",50,14,0,"1450",26283,0,156000,82400,"重庆市",2885,9.17,75.7,27596,3.9,4733.84,103.2,34727,5500.74,40.6,51,2413,56.9,256
"112",51,14,0,"1392",26283,0,156000,488000,"四川省",8045,8.93,74.75,21182,4.1,4917.88,103.2,32567,5479.54,37.9,197,1790,189.3,210
"113",52,14,0,"1862",26283,0,156000,170000,"贵州省",3479,13.96,71.1,13119,3.6,3888.78,102.9,30433,3577.42,29.6,123,1109,54.3,212
"114",53,14,0,"2419",26283,0,156000,394000,"云南省",4602,13.1,69.54,15752,4.2,3635.38,103.7,29195,4526.17,37.3,277,1391,93.1,206
"115",54,14,0,"3236",26283,0,156000,1220000,"西藏自治区",300,15.8,68.17,17027,4,3474.51,102.2,49898,4135.92,25.4,7,1373,4.3,306
"116",61,14,0.000559597090095132,"602",26283,2,156000,205800,"陕西省",3735,9.73,74.68,27133,3.9,4949.2,104,33384,4572.17,38.3,318,3208,84.6,284
"117",62,14,0.000279798545047566,"1121",26283,1,156000,454430,"甘肃省",2560,12.05,72.23,16113,3.2,3318.24,104.1,29096,3525.35,27.1,1821,1882,88.1,189
"118",63,14,0.00111919418019026,"1319",26283,4,156000,721000,"青海省",563,14.94,69.96,24115,3.8,3248.08,105.4,36121,3998.17,29.4,0,1119,23.5,232
"119",64,14,0,"748",26283,0,156000,66400,"宁夏回族自治区",633,14.14,73.38,26860,4.4,3732.19,104.1,37166,5164.62,38.8,0,1868,20.8,212
"120",65,14,0.000559597090095132,"2825",26283,2,156000,1664897,"新疆维吾尔自治区",2185,15.99,72.35,25034,3.2,3548.79,104.3,32003,5214.87,36.4,13,1467,96,183
"121",11,15,0.0469255663430421,"480",47347,116,1183000,16411,"北京市",1962,7.48,80.18,73856,1.4,16851.95,102.4,65158,11802.82,44.15,0,6196,11.7,430
"122",12,15,0.0477346278317152,"604",47347,118,1183000,11920,"天津市",1299,8.18,78.89,72994,3.6,8744.77,103.5,51489,10367.86,32.1,0,4412,18,450
"123",13,15,0.031957928802589,"736",47347,79,1183000,190000,"河北省",7194,13.22,74.97,28668,3.9,3982.85,103.1,31451,6192.42,42.7,0,1951,88.1,265
"124",14,15,0.0707928802588997,"527",47347,175,1183000,156000,"山西省",3574,10.68,74.92,26283,3.6,3432.71,103,33057,5369.56,38,4,2132,91.7,231
"125",21,15,0.0849514563106796,"1164",47347,210,1183000,148000,"辽宁省",4375,6.68,76.38,42355,3.6,4732.65,103,34437,7070.37,39.3,29,2671,118.6,296
"126",22,15,0.0157766990291262,"1458",47347,39,1183000,187000,"吉林省",2747,7.91,76.18,31599,3.8,4363.89,103.7,29003,6782.36,34.1,9,2716,115.6,228
"127",23,15,0.0299352750809061,"1710",47347,74,1183000,469000,"黑龙江省",3833,7.35,75.98,27076,4.3,3966.4,103.9,27735,6116.44,34.9,0,2447,155.6,240
"128",31,15,0.0040453074433657,"1717",47347,10,1183000,6219,"上海市",2303,7.05,80.26,76074,4.4,14603.24,103.1,66115,13258.32,38.2,0,4300,32.4,450
"129",32,15,0.0052588996763754,"1545",47347,13,1183000,102658,"江苏省",7869,9.73,76.63,52840,3.2,6554.41,103.8,39772,9209.84,42.1,0,2819,40.9,342
"130",33,15,0.00121359223300971,"1802",47347,3,1183000,104141,"浙江省",5447,10.27,77.73,51711,3.2,9838.06,103.8,40640,11855.84,38.3,21,2285,8.8,367
"131",34,15,0.00242718446601942,"1518",47347,6,1183000,139427,"安徽省",5957,12.7,75.08,20888,3.7,4776.1,103.1,33341,5650.74,37.5,12,1841,84.2,254
"132",35,15,0.00040453074433657,"2401",47347,1,1183000,120000,"福建省",3693,11.27,75.76,40025,3.8,7764.29,103.2,32340,7668.83,41,113,2144,18.1,218
"133",36,15,0.00040453074433657,"1906",47347,1,1183000,166900,"江西省",4462,13.72,74.33,21253,3.3,4147.7,103,28363,6005.38,46.6,120,2162,98.1,244
"134",37,15,0,"902",47347,0,1183000,157126,"山东省",9588,11.65,76.46,41106,3.4,4447.73,102.9,33321,7100.66,41.5,0,2202,60.6,286
"135",41,15,0.00040453074433657,"955",47347,1,1183000,167000,"河南省",9405,11.52,74.57,24446,3.4,3500.8,103.5,29819,5978.23,36.6,10,1839,141.9,202
"136",42,15,0,"1514",47347,0,1183000,187400,"湖北省",5728,10.36,74.87,27906,4.2,4486.39,102.9,31811,6220.02,37.7,24,2906,137.2,252
"137",43,15,0,"1798",47347,0,1183000,211829,"湖南省",6570,13.1,74.7,24719,4.2,3790.26,103.1,29670,5933.69,36.6,100,2051,145.1,214
"138",44,15,0,"2461",47347,0,1183000,184800,"广东省",10441,11.18,76.49,44736,2.5,7879.17,103.1,40432,7534.48,41.3,50,2037,40,254
"139",45,15,0,"2657",47347,0,1183000,236700,"广西壮族自治区",4610,14.13,75.11,20219,3.7,3772.47,103,30673,5122.78,35,140,1530,57.3,228
"140",46,15,0.000809061488673139,"3057",47347,2,1183000,34000,"海南省",869,14.71,76.3,23831,3,8943.45,104.8,30775,5469.21,42.6,3,2036,17.1,250
"141",50,15,0,"1847",47347,0,1183000,82400,"重庆市",2885,9.17,75.7,27596,3.9,4733.84,103.2,34727,5500.74,40.6,51,2413,56.9,256
"142",51,15,0,"1789",47347,0,1183000,488000,"四川省",8045,8.93,74.75,21182,4.1,4917.88,103.2,32567,5479.54,37.9,197,1790,189.3,210
"143",52,15,0,"2227",47347,0,1183000,170000,"贵州省",3479,13.96,71.1,13119,3.6,3888.78,102.9,30433,3577.42,29.6,123,1109,54.3,212
"144",53,15,0,"2816",47347,0,1183000,394000,"云南省",4602,13.1,69.54,15752,4.2,3635.38,103.7,29195,4526.17,37.3,277,1391,93.1,206
"145",54,15,0,"3260",47347,0,1183000,1220000,"西藏自治区",300,15.8,68.17,17027,4,3474.51,102.2,49898,4135.92,25.4,7,1373,4.3,306
"146",61,15,0,"1000",47347,0,1183000,205800,"陕西省",3735,9.73,74.68,27133,3.9,4949.2,104,33384,4572.17,38.3,318,3208,84.6,284
"147",62,15,0.00040453074433657,"1146",47347,1,1183000,454430,"甘肃省",2560,12.05,72.23,16113,3.2,3318.24,104.1,29096,3525.35,27.1,1821,1882,88.1,189
"148",63,15,0,"1344",47347,0,1183000,721000,"青海省",563,14.94,69.96,24115,3.8,3248.08,105.4,36121,3998.17,29.4,0,1119,23.5,232
"149",64,15,0,"716",47347,0,1183000,66400,"宁夏回族自治区",633,14.14,73.38,26860,4.4,3732.19,104.1,37166,5164.62,38.8,0,1868,20.8,212
"150",65,15,0.00040453074433657,"2825",47347,1,1183000,1664897,"新疆维吾尔自治区",2185,15.99,72.35,25034,3.2,3548.79,104.3,32003,5214.87,36.4,13,1467,96,183
"151",11,21,0.0262857142857143,"684",42355,115,148000,16411,"北京市",1962,7.48,80.18,73856,1.4,16851.95,102.4,65158,11802.82,44.15,0,6196,11.7,430
"152",12,21,0.0173714285714286,"661",42355,76,148000,11920,"天津市",1299,8.18,78.89,72994,3.6,8744.77,103.5,51489,10367.86,32.1,0,4412,18,450
"153",13,21,0.00937142857142857,"964",42355,41,148000,190000,"河北省",7194,13.22,74.97,28668,3.9,3982.85,103.1,31451,6192.42,42.7,0,1951,88.1,265
"154",14,21,0.00251428571428571,"1179",42355,11,148000,156000,"山西省",3574,10.68,74.92,26283,3.6,3432.71,103,33057,5369.56,38,4,2132,91.7,231
"155",15,21,0.008,"1164",42355,35,148000,1183000,"内蒙古自治区",2472,9.3,74.44,47347,3.9,3782.93,103.2,35211,6010.78,33.4,3,1884,84.8,299
"156",22,21,0.0144,"294",42355,63,148000,187000,"吉林省",2747,7.91,76.18,31599,3.8,4363.89,103.7,29003,6782.36,34.1,9,2716,115.6,228
"157",23,21,0.0153142857142857,"546",42355,67,148000,469000,"黑龙江省",3833,7.35,75.98,27076,4.3,3966.4,103.9,27735,6116.44,34.9,0,2447,155.6,240
"158",31,21,0.00434285714285714,"1796",42355,19,148000,6219,"上海市",2303,7.05,80.26,76074,4.4,14603.24,103.1,66115,13258.32,38.2,0,4300,32.4,450
"159",32,21,0.00365714285714286,"1610",42355,16,148000,102658,"江苏省",7869,9.73,76.63,52840,3.2,6554.41,103.8,39772,9209.84,42.1,0,2819,40.9,342
"160",33,21,0.00137142857142857,"1800",42355,6,148000,104141,"浙江省",5447,10.27,77.73,51711,3.2,9838.06,103.8,40640,11855.84,38.3,21,2285,8.8,367
"161",34,21,0.000685714285714286,"1587",42355,3,148000,139427,"安徽省",5957,12.7,75.08,20888,3.7,4776.1,103.1,33341,5650.74,37.5,12,1841,84.2,254
"162",35,21,0,"2533",42355,0,148000,120000,"福建省",3693,11.27,75.76,40025,3.8,7764.29,103.2,32340,7668.83,41,113,2144,18.1,218
"163",36,21,0,"2045",42355,0,148000,166900,"江西省",4462,13.72,74.33,21253,3.3,4147.7,103,28363,6005.38,46.6,120,2162,98.1,244
"164",37,21,0.000457142857142857,"978",42355,2,148000,157126,"山东省",9588,11.65,76.46,41106,3.4,4447.73,102.9,33321,7100.66,41.5,0,2202,60.6,286
