"","name.eng","x.1.31.","innRate","outRate"
"1","Beijing",11,0,0.0242694403169886
"2","Tianjin",12,0,0.0708487084870849
"3","Hebei",13,0,0.307554205220273
"4","Shanxi",14,0.646813247982188,0.185360423044809
"5","Inner Mongolia",15,1.52296535052377,0.475020145044319
"6","Liaoning",21,0.40953684690851,0.139858544375998
"7","Jilin",22,1.03164787195344,0.471807930156421
"8","Heilongjiang",23,2.16770996348461,0.564162754303599
"9","Shanghai",31,0,0.0144865786109928
"10","Jiangsu",32,0.500063299151791,0.243828332700342
"11","Zhejiang",33,0.207212154493868,0.198974922203917
"12","Anhui",34,0,1.45325067024129
"13","Fujian",35,0,0.237096774193548
"14","Jiangxi",36,0,0.520944741532977
"15","Shandong",37,0,0.271350005188337
"16","Henan",41,0,0.481359181934384
"17","Hubei",42,0,0.31938172976728
"18","Hunan",43,0,0.18086719223772
"19","Guangdong",44,0,0.0190385530699667
"20","Guangxi",45,0,0.0475780409041981
"21","Hainan",46,0,0.031927023945268
"22","Chongqing",50,0,0.313463514902364
"23","Sichuan",51,0,0.300869565217391
"24","Guizhou",52,0,0.449120784087633
"25","Yunnan",53,0,0.126106672424962
"26","Xizang",54,0,0.0099009900990099
"27","Shaanxi",61,0,0.229495057440556
"28","Gansu",62,0,0.283151326053042
"29","Qinghai",63,0,0.144366197183099
"30","Ningxia",64,0,0.150234741784038
"31","Xinjiang",65,0,0.108193752829335
