"","name.eng","x.1.31.","innRate","outRate"
"1","Beijing",11,0,0.0247647350173353
"2","Tianjin",12,0,0.0863468634686347
"3","Hebei",13,0.142383648667311,0.301477696450766
"4","Shanxi",14,0.340384080155859,0.177567492346229
"5","Inner Mongolia",15,0.537872683319903,0.267123287671233
"6","Liaoning",21,0.171800136892539,0.126169290440338
"7","Jilin",22,0.498363041105857,0.268097489996362
"8","Heilongjiang",23,0.429577464788732,0.436880542514345
"9","Shanghai",31,0,0.0097997443544951
"10","Jiangsu",32,0.165084187871883,0.423597923787821
"11","Zhejiang",33,0.100494233937397,0.313930075050339
"12","Anhui",34,0.289209115281501,1.25586461126005
"13","Fujian",35,0.235483870967742,0.369086021505376
"14","Jiangxi",36,0.295900178253119,0.540552584670232
"15","Shandong",37,0.16945107398568,0.268963370343468
"16","Henan",41,0.17937792927141,0.456433745206647
"17","Hubei",42,0.267627648489059,0.424626606460577
"18","Hunan",43,0.267131594906004,0.380533656761674
"19","Guangdong",44,0.227034745359353,0.0281770585435507
"20","Guangxi",45,0,0.19978471474704
"21","Hainan",46,0,0.0775370581527936
"22","Chongqing",50,0,0.396711202466598
"23","Sichuan",51,0,0.373788819875776
"24","Guizhou",52,0,0.319688671086769
"25","Yunnan",53,0,0.105808680630533
"26","Xizang",54,0,0.0132013201320132
"27","Shaanxi",61,0,0.219342773176596
"28","Gansu",62,0,0.174726989079563
"29","Qinghai",63,0,0.10387323943662
"30","Ningxia",64,0,0.0892018779342723
"31","Xinjiang",65,0,0.0353100950656406
