,toCode,fromCode,dis,areaX,areaY,Country_income,Low_Income,predicted
115,54,14,3236,156000,1220000,6553.38,4.3,0.001
116,61,14,602,156000,205800,7932.21,84.6,0.033
117,62,14,1121,156000,454430,6276.59,88.1,0.008
118,63,14,1319,156000,721000,7282.73,23.5,0.007
119,64,14,748,156000,66400,7598.67,20.8,0.029
120,65,14,2825,156000,1664897,7846.59,96,0.003
121,11,15,480,1183000,16411,18867.3,11.7,0.093
122,12,15,604,1183000,11920,17014.18,18,0.061
123,13,15,736,1183000,190000,10186.14,88.1,0.042
124,14,15,527,1183000,156000,8809.44,91.7,0.081
125,21,15,1164,1183000,148000,11191.49,118.6,0.033
126,22,15,1458,1183000,187000,10780.12,115.6,0.01
127,23,15,1710,1183000,469000,10453.2,155.6,0.011
128,31,15,1717,1183000,6219,21191.64,32.4,0.007
129,32,15,1545,1183000,102658,14958.44,40.9,0.009
130,33,15,1802,1183000,104141,19373.28,8.8,0.015
131,34,15,1518,1183000,139427,9916.42,84.2,0.012
132,35,15,2401,1183000,120000,12650.19,18.1,0.004
133,36,15,1906,1183000,166900,10116.58,98.1,0.014
134,37,15,902,1183000,157126,11882.26,60.6,0.023
135,41,15,955,1183000,167000,9966.07,141.9,0.023
136,42,15,1514,1183000,187400,10849.06,137.2,0.008
137,43,15,1798,1183000,211829,10060.17,145.1,0.014
138,44,15,2461,1183000,184800,12245.56,40,0.003
139,45,15,2657,1183000,236700,7793.08,57.3,0.001
140,46,15,3057,1183000,34000,9912.57,17.1,0.003
141,50,15,1847,1183000,82400,9489.82,56.9,0.013
142,51,15,1789,1183000,488000,9347.74,189.3,0.014
143,52,15,2227,1183000,170000,6671.22,54.3,0.002
144,53,15,2816,1183000,394000,7456.13,93.1,0.001
145,54,15,3260,1183000,1220000,6553.38,4.3,0.001
146,61,15,1000,1183000,205800,7932.21,84.6,0.027
147,62,15,1146,1183000,454430,6276.59,88.1,0.022
148,63,15,1344,1183000,721000,7282.73,23.5,0.014
149,64,15,716,1183000,66400,7598.67,20.8,0.061
150,65,15,2825,1183000,1664897,7846.59,96,0.001
151,11,21,684,148000,16411,18867.3,11.7,0.04
152,12,21,661,148000,11920,17014.18,18,0.039
153,13,21,964,148000,190000,10186.14,88.1,0.018
154,14,21,1179,148000,156000,8809.44,91.7,0.014
155,15,21,1164,148000,1183000,8984.92,84.8,0.014
156,22,21,294,148000,187000,10780.12,115.6,0.083
157,23,21,546,148000,469000,10453.2,155.6,0.081
158,31,21,1796,148000,6219,21191.64,32.4,0.007
159,32,21,1610,148000,102658,14958.44,40.9,0.009
160,33,21,1800,148000,104141,19373.28,8.8,0.021
161,34,21,1587,148000,139427,9916.42,84.2,0.011
162,35,21,2533,148000,120000,12650.19,18.1,0.008
163,36,21,2045,148000,166900,10116.58,98.1,0.017
164,37,21,978,148000,157126,11882.26,60.6,0.018
165,41,21,1368,148000,167000,9966.07,141.9,0.008
166,42,21,1827,148000,187400,10849.06,137.2,0.013
167,43,21,2132,148000,211829,10060.17,145.1,0.016
168,44,21,2832,148000,184800,12245.56,40,0.007
169,45,21,3046,148000,236700,7793.08,57.3,0.003
170,46,21,3435,148000,34000,9912.57,17.1,0.005
171,50,21,2610,148000,82400,9489.82,56.9,0.006
172,51,21,2547,148000,488000,9347.74,189.3,0.006
173,52,21,1987,148000,170000,6671.22,54.3,0.002
174,53,21,3572,148000,394000,7456.13,93.1,0.001
175,54,21,4421,148000,1220000,6553.38,4.3,0.001
176,61,21,1763,148000,205800,7932.21,84.6,0.018
177,62,21,2303,148000,454430,6276.59,88.1,0.003
178,63,21,2489,148000,721000,7282.73,23.5,0.001
179,64,21,1876,148000,66400,7598.67,20.8,0.006
180,65,21,3985,148000,1664897,7846.59,96,0.003
181,11,22,979,187000,16411,18867.3,11.7,0.036
182,12,22,955,187000,11920,17014.18,18,0.033
183,13,22,1259,187000,190000,10186.14,88.1,0.015
184,14,22,1473,187000,156000,8809.44,91.7,0.008
185,15,22,1458,187000,1183000,8984.92,84.8,0.01
186,21,22,294,187000,148000,11191.49,118.6,0.11
187,23,22,256,187000,469000,10453.2,155.6,0.091
188,31,22,2090,187000,6219,21191.64,32.4,0.008
189,32,22,1915,187000,102658,14958.44,40.9,0.012
190,33,22,2173,187000,104141,19373.28,8.8,0.017
191,34,22,1888,187000,139427,9916.42,84.2,0.015
192,35,22,2831,187000,120000,12650.19,18.1,0.004
193,36,22,2341,187000,166900,10116.58,98.1,0.015
194,37,22,1272,187000,157126,11882.26,60.6,0.011
195,41,22,1662,187000,167000,9966.07,141.9,0.01
196,42,22,2137,187000,187400,10849.06,137.2,0.011
197,43,22,2433,187000,211829,10060.17,145.1,0.007
198,44,22,3133,187000,184800,12245.56,40,0.004
199,45,22,3340,187000,236700,7793.08,57.3,0.002
200,46,22,3732,187000,34000,9912.57,17.1,0.003
201,50,22,2905,187000,82400,9489.82,56.9,0.003
202,51,22,2847,187000,488000,9347.74,189.3,0.003
203,52,22,3285,187000,170000,6671.22,54.3,0.001
204,53,22,3874,187000,394000,7456.13,93.1,0.001
205,54,22,4715,187000,1220000,6553.38,4.3,0.001
206,61,22,2057,187000,205800,7932.21,84.6,0.007
207,62,22,2598,187000,454430,6276.59,88.1,0.001
208,63,22,2795,187000,721000,7282.73,23.5,0.001
209,64,22,2170,187000,66400,7598.67,20.8,0.008
210,65,22,4279,187000,1664897,7846.59,96,0.002
211,11,23,1230,469000,16411,18867.3,11.7,0.042
212,12,23,1207,469000,11920,17014.18,18,0.054
213,13,23,1510,469000,190000,10186.14,88.1,0.021
214,14,23,1725,469000,156000,8809.44,91.7,0.022
215,15,23,1710,469000,1183000,8984.92,84.8,0.02
216,21,23,546,469000,148000,11191.49,118.6,0.118
217,22,23,256,469000,187000,10780.12,115.6,0.089
218,31,23,2342,469000,6219,21191.64,32.4,0.012
219,32,23,2166,469000,102658,14958.44,40.9,0.014
220,33,23,2425,469000,104141,19373.28,8.8,0.013
221,34,23,2140,469000,139427,9916.42,84.2,0.016
222,35,23,3083,469000,120000,12650.19,18.1,0.007
223,36,23,2591,469000,166900,10116.58,98.1,0.005
224,37,23,1524,469000,157126,11882.26,60.6,0.016
225,41,23,1914,469000,167000,9966.07,141.9,0.018
226,42,23,2389,469000,187400,10849.06,137.2,0.008
227,43,23,2700,469000,211829,10060.17,145.1,0.004
228,44,23,3383,469000,184800,12245.56,40,0.004
229,45,23,3592,469000,236700,7793.08,57.3,0.002
230,46,23,3984,469000,34000,9912.57,17.1,0.005
231,50,23,3156,469000,82400,9489.82,56.9,0.004
232,51,23,3099,469000,488000,9347.74,189.3,0.003
233,52,23,3537,469000,170000,6671.22,54.3,0.001
234,53,23,4126,469000,394000,7456.13,93.1,0.004
235,54,23,4967,469000,1220000,6553.38,4.3,0.001
236,61,23,2309,469000,205800,7932.21,84.6,0.011
237,62,23,2849,469000,454430,6276.59,88.1,0.003
238,63,23,3047,469000,721000,7282.73,23.5,0.002
239,64,23,2422,469000,66400,7598.67,20.8,0.007
240,65,23,4531,469000,1664897,7846.59,96,0.002
241,11,31,1239,6219,16411,18867.3,11.7,0.004
242,12,31,1150,6219,11920,17014.18,18,0.004
243,13,31,1118,6219,190000,10186.14,88.1,0.004
244,14,31,1327,6219,156000,8809.44,91.7,0.002
