gbcode,q101a1,q101b1,q101c1,q101d1,q101e1,q101f1,q101g1,q101h1,q101i1,q101j1,q101k1,q101l1,q101m1,q101a2,q101a3,q101a4,q101a5,q101a6,q201,q202,q203,q204,q205,q206,q207,q208,q209,q211,q212,q213,q301,q302,q304,q305,q306,q307,q308,q309,q310,q311,q312,q313,q314,q315,q316
110102,1,2,197703,12,1,8,2,2,1,1,1,2004,2,2,3,3,,,1998,1,9,20,3,1,15000,5,8,7,1,3,200611,2,,,1,201203,7,2,6,0,3,3,2,4,2
110102,1,1,197707,65,1,4,2,2,1,1,1,2009,1,2,3,,,,2009,1,6,41,6,1,5000,5,8,7,1,3,200702,1,1,1,,,,,,,,,,,
110102,1,1,199302,41,1,3,1,1,1,1,1,2011,1,,,,,,2011,1,6,62,5,1,1500,5,8,5,2,,,,,,,,,,,,,,,,
110102,1,2,196304,62,1,7,2,2,1,1,1,1997,2,2,3,,,,1997,1,7,43,5,3,5000,7,12,2,2,,199110,1,2,,2,,,,,0,2,2,2,3,2
110102,1,2,198610,42,1,3,1,1,1,1,1,2011,1,,,,,,2011,1,6,48,6,1,2000,6,9,2,2,,,,,,,,,,,,,,,,
110102,1,2,198410,13,1,7,2,2,1,1,1,2008,1,2,3,,,,2008,1,13,48,10,1,6000,5,8,7,1,1,201004,1,1,2,1,201103,7,2,6,0,1,3,1,1,1
110102,1,2,197401,41,1,3,1,2,1,1,1,2003,1,2,3,,,,2003,1,6,48,6,1,2000,6,10,2,1,1,200212,1,2,,1,200407,3,2,2,0,3,2,1,1,1
110102,1,2,198212,22,1,3,1,1,1,1,1,2000,1,,,,,,2000,1,11,48,2,1,2000,7,8,2,1,1,,,,,,,,,,,,,,,
110102,1,2,199601,13,1,3,1,1,1,1,1,2011,1,,,,,,2011,1,11,48,2,1,2000,7,8,2,1,1,,,,,,,,,,,,,,,
110102,1,2,197110,34,1,3,1,2,1,1,1,1990,1,2,3,,,,1990,1,7,43,3,1,1100,7,10,6,1,1,199707,1,1,2,1,200011,3,2,2,0,2,2,1,1,2
110102,1,2,199411,13,1,3,1,1,1,1,1,2011,1,,,,,,2011,1,11,48,2,1,2000,7,8,2,1,1,,,,,,,,,,,,,,,
110102,1,1,197305,41,1,4,1,2,1,1,1,2008,1,2,3,3,,,1989,1,6,42,5,3,2000,7,16,2,2,,199304,2,,,,,,,,,,,,,
110102,1,1,198705,14,1,3,1,1,1,1,1,2011,2,,,,,,2006,1,8,48,5,1,2050,6.5,12,4,2,,,,,,,,,,,,,,,,
110102,1,2,197904,22,1,5,2,2,1,1,1,1998,1,2,3,,,,1998,1,1,20,5,2,4000,7,8,7,1,1,200210,1,2,,2,,,,,0,3,3,3,3,1
110102,1,2,198003,34,1,3,1,2,1,1,1,2011,1,2,3,3,,,2010,1,6,48,5,3,2000,7,12,2,1,1,200612,2,,,1,201203,7,2,6,0,3,3,3,3,1
110102,1,2,198811,62,1,3,1,2,1,1,1,2011,1,2,3,,,,2011,1,11,48,2,1,2000,7,8,2,1,1,201003,1,2,,2,,,,,0,2,2,2,3,2
110102,1,1,198406,14,1,6,2,2,1,1,1,2010,1,2,3,,,,2010,1,6,30,3,3,15000,5,8,5,1,2,200812,1,2,,,,,,,,,,,,
110102,1,2,196507,41,1,1,1,3,1,1,1,2008,1,2,3,3,,,2008,1,7,43,2,1,1700,7,8,4,1,3,198608,2,,,1,199610,2,1,2,0,2,2,2,3,1
110102,1,1,197906,15,1,5,2,1,1,1,1,2000,1,,,,,,2000,1,7,43,2,1,1400,7,8,4,1,1,,,,,,,,,,,,,,,
110102,1,2,198609,13,1,5,1,1,1,1,1,2007,1,,,,,,2007,1,7,48,2,1,1400,7,8,4,1,3,,,,,,,,,,,,,,,
110102,1,2,199311,37,1,4,1,1,1,1,1,2010,1,,,,,,2010,1,7,48,2,1,1900,7,8,6,1,3,,,,,,,,,,,,,,,
110102,1,2,198304,23,1,5,2,1,1,1,1,1999,1,,,,,,1999,1,7,48,2,1,1500,6,8,4,1,3,,,,,,,,,,,,,,,
110102,1,1,196302,13,1,4,1,2,1,1,1,2011,1,2,3,,,,2008,1,7,43,2,1,3000,6,8,4,2,,198508,1,2,,,,,,,,,,,,
110102,1,2,196712,37,1,3,1,2,1,1,1,1994,1,2,3,,,,1994,1,7,48,2,1,3000,7,8,6,1,1,198912,1,1,2,1,199110,7,2,1,0,1,2,1,2,1
110102,1,2,199211,13,1,3,1,1,1,1,1,2008,1,,,,,,2008,1,7,48,2,1,1400,7,8,4,1,3,,,,,,,,,,,,,,,
110102,1,2,199010,37,1,3,1,2,1,1,1,2008,1,2,,,,,2008,1,7,48,2,1,1900,7,8,4,1,2,201108,0,,,2,,,,,0,3,3,2,1,1
110102,1,1,197812,61,1,4,1,2,1,1,1,2000,1,2,3,,,,1998,1,7,43,2,1,2700,7,8,4,1,3,200304,1,1,1,,,,,,,,,,,
110102,1,1,198510,13,1,3,1,2,1,1,1,2011,1,2,3,,,,2005,1,7,43,2,1,2400,6,8,6,2,,200711,1,2,,,,,,,,,,,,
