q101b1,q101c1,q101e1,q101f1,q203,q207
1,197005,1,4,13,1700
2,197909,1,3,13,1260
2,198708,1,3,13,1500
1,196304,1,6,13,2200
2,196601,1,3,8,1200
1,198803,1,4,13,1200
1,198902,1,3,13,1500
2,196705,1,3,13,1400
2,196606,1,3,8,1200
2,196306,1,3,-1,-1
1,196008,1,2,8,1260
2,197308,1,3,-1,-1
1,196708,1,2,8,1200
2,198607,1,3,-1,-1
2,198212,1,3,8,1260
2,198809,1,6,7,3000
1,199212,1,3,7,1700
1,199502,1,4,7,2000
1,198806,1,5,7,2000
1,199512,1,3,7,1500
1,198406,1,7,7,5000
1,199501,1,3,7,1300
1,198510,1,7,7,2200
1,199302,1,3,7,1750
2,198604,1,6,7,3000
2,198706,1,6,7,2000
2,198404,1,4,7,4000
2,196411,1,3,7,2200
2,198407,1,5,7,2200
1,198708,1,3,7,1950
1,198912,1,4,7,2200
2,198702,1,5,7,2000
2,198710,1,5,7,1950
2,198811,1,6,7,1950
1,198607,1,4,9,3000
2,198405,1,3,7,2500
2,196909,1,3,8,1200
2,196507,1,3,8,1200
2,197905,1,4,-1,-1
2,198204,1,3,7,1500
2,197309,1,3,7,2000
2,198603,1,3,6,1800
2,199012,1,3,7,1500
2,197110,1,3,6,1800
2,196808,1,4,8,1200
2,199103,1,6,11,2200
2,198911,1,3,6,2500
2,196908,1,3,8,1800
1,198605,1,5,7,2000
2,198707,1,4,7,2000
2,197512,1,3,6,1900
2,196406,1,3,8,1500
2,196408,1,4,7,5000
2,199011,1,4,7,1800
2,198308,1,3,-1,-1
2,197108,1,3,4,6000
2,198304,1,7,-1,-1
2,197503,1,3,-1,-1
2,198212,1,7,-1,-1
1,198710,1,3,7,6000
1,198207,1,4,8,4500
1,198110,1,7,13,8000
1,198307,1,3,9,4500
1,198210,1,7,7,3000
1,198410,1,3,8,3000
1,198805,1,3,7,5000
1,198112,1,7,8,6000
2,198808,1,3,-1,-1
2,198207,1,4,6,2600
2,198512,1,3,6,3000
2,198911,1,3,-1,-1
2,197802,1,3,-1,-1
2,197710,1,4,6,5000
2,198702,1,3,-1,-1
2,197901,1,6,6,10000
2,198311,1,7,11,3000
1,196707,1,3,7,5000
1,199105,4,5,6,1800
1,199009,1,5,7,1500
2,199111,1,5,7,2000
2,199107,1,5,6,1800
1,198011,1,5,13,2000
2,198111,1,4,6,3000
1,199005,1,5,6,1500
2,199202,10,5,6,1500
1,198912,1,7,6,2000
2,198405,1,5,6,1000
2,198108,1,7,15,6000
1,198506,1,4,6,2000
1,196510,1,2,15,1600
1,198007,1,5,6,1800
2,198409,1,4,6,2000
2,198203,1,7,11,5000
2,198312,1,8,11,5000
2,198408,1,5,-1,-1
2,198610,1,4,6,10000
2,197811,1,3,6,2500
2,197501,3,3,6,3000
2,197206,1,2,6,1500
2,198806,1,4,6,2000
1,199304,1,6,6,2500
2,198505,1,6,9,3000
2,199006,1,4,6,5000
2,198909,1,5,10,3000
1,198908,1,5,6,2000
1,199009,1,5,7,2500
2,199404,1,4,7,2600
2,198108,1,4,-1,-1
2,198307,1,5,9,3000
2,198903,1,5,6,1000
1,199310,1,3,7,1500
2,198606,1,4,6,3000
2,198706,1,3,-1,-1
2,198311,1,4,-1,-1
2,198204,1,6,15,8000
1,198008,7,8,13,6000
2,198211,1,8,13,6000
1,198009,1,4,6,8000
2,198101,1,4,-1,-1
1,198604,1,6,7,4000
2,198910,1,4,-1,-1
2,199002,1,3,7,2000
2,198302,1,8,15,8000
1,198108,1,5,1,6000
2,198606,1,5,1,8000
2,199111,1,5,7,3500
2,198811,1,3,-1,-1
2,198802,1,6,13,4000
2,198507,1,7,7,5000
1,198503,1,7,4,3000
2,198911,1,3,7,3000
2,197810,1,4,-1,-1
2,198302,1,7,4,7000
2,199011,1,3,15,1900
1,199103,1,4,4,1500
1,199209,1,3,4,1500
1,199501,1,3,4,1500
1,199310,1,3,4,1500
1,199307,1,3,4,1500
1,198508,1,3,4,1500
1,198409,1,4,4,1000
1,196707,1,3,4,1500
1,197601,1,4,4,1000
1,198901,1,4,4,1500
1,199111,1,3,4,1500
1,199111,1,3,4,1500
1,199008,1,4,4,1500
1,198705,1,3,4,1500
1,199102,1,3,4,1500
1,199111,1,4,4,1500
1,199003,1,4,4,1500
1,198910,1,3,4,1500
1,199009,1,4,4,1500
1,199303,1,4,4,1500
2,198204,1,7,12,8000
2,197901,1,6,6,10000
2,198608,1,7,6,3000
2,197501,1,6,15,3000
2,198306,1,6,-1,-1
1,198810,1,7,6,5000
1,196204,1,7,4,6000
2,197109,1,7,6,7000
2,198507,1,8,11,8000
1,197702,1,6,12,10000
2,197404,1,6,-1,-1
2,198312,1,6,13,5000
1,197904,1,5,6,8000
1,197802,1,7,12,8000
2,197812,3,7,13,5000
2,198109,1,3,6,8000
2,197508,1,5,-1,-1
2,197612,1,3,-1,-1
2,198709,1,6,4,3000
2,198408,1,7,4,3000
2,197507,1,4,6,5000
1,197501,1,7,12,3500
1,196510,1,4,6,5000
2,197507,1,6,4,30000
1,196609,1,5,6,8000
2,197701,1,6,6,3000
1,197905,1,7,13,15000
2,198812,1,3,-1,-1
1,197505,1,3,15,30000
1,197803,1,7,13,8000
1,197401,1,4,8,4300
2,197605,1,6,-1,-1
2,196601,1,3,-1,-1
1,197804,2,7,1,10000
2,197807,1,4,6,20000
1,197711,1,4,6,6000
2,198009,1,7,12,5000
1,197107,1,6,12,8000
