q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101m1,q203,q206,q207,q211,q212,q213,q301
1,196609,1,5,2,3,1,1,6,2,8000,7,1,2,199012
2,197701,1,6,2,2,1,1,6,3,3000,7,2,-1,200610
1,197905,1,7,2,2,1,1,13,2,15000,7,1,3,200603
2,198812,1,3,1,2,5,2,-1,-1,-1,7,2,-1,200904
1,197505,1,3,1,2,1,1,15,2,30000,7,2,-1,199605
1,197803,1,7,2,2,1,1,13,1,8000,7,1,2,200403
1,197401,1,4,2,2,1,1,8,1,4300,7,1,2,199508
2,197605,1,6,2,2,5,1,-1,-1,-1,5,2,-1,200509
2,196601,1,3,2,2,5,1,-1,-1,-1,7,2,-1,198812
1,197804,2,7,2,2,1,1,1,1,10000,7,1,1,200708
2,197807,1,4,2,2,1,1,6,2,20000,7,1,2,200108
1,197711,1,4,2,2,1,1,6,2,6000,7,2,-1,200502
2,198009,1,7,2,2,1,2,12,1,5000,2,1,1,200702
1,197107,1,6,2,2,1,1,12,2,8000,7,2,-1,200408
1,197203,3,3,1,2,1,1,6,3,10000,7,2,-1,199612
2,197301,1,5,2,2,1,1,6,3,7000,7,1,2,199610
2,196703,1,2,1,2,1,1,8,1,2000,2,2,-1,199011
2,197309,1,4,1,2,1,1,6,3,10000,2,2,-1,200901
2,196707,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199002
2,199102,1,3,1,1,1,1,6,1,2000,2,2,-1,-1
2,196903,1,2,1,3,1,1,8,2,1800,2,2,-1,200304
2,196704,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200410
2,197506,1,2,1,2,5,1,-1,-1,-1,2,2,-1,200109
2,196912,1,2,1,2,1,1,6,3,1800,2,2,-1,198910
1,198710,1,3,1,2,1,1,9,1,1800,2,2,-1,200810
2,198609,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200602
1,198310,1,6,2,2,1,1,8,1,6000,2,2,-1,200904
2,196712,1,3,1,2,1,1,8,1,3500,2,2,-1,198810
1,196711,1,4,1,3,1,1,4,1,4000,2,2,-1,200512
1,196903,1,4,1,2,1,1,4,1,2000,2,2,-1,199311
1,198607,3,3,1,2,1,1,10,1,3000,2,2,-1,200903
1,198110,1,3,1,2,1,1,9,1,3700,2,2,-1,201203
1,198807,1,6,2,1,1,1,13,1,1800,2,3,-1,-1
1,199002,1,4,1,1,1,1,7,1,2500,2,2,-1,-1
1,198409,1,6,2,1,1,1,14,1,3000,2,1,1,-1
1,198705,1,3,1,2,1,1,10,1,3000,2,2,-1,200812
1,197905,1,3,1,2,1,1,10,1,2800,2,2,-1,199805
2,198110,1,3,2,2,5,1,-1,-1,-1,2,2,-1,200001
2,198210,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200604
2,198104,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200701
2,196905,1,3,1,3,1,1,4,1,2800,2,1,2,200401
1,196510,1,2,1,2,1,1,4,1,3000,2,2,-1,198610
1,197201,1,3,1,2,1,1,4,1,6000,2,2,-1,199501
1,196301,1,4,1,2,1,1,4,1,3000,2,2,-1,198205
1,197105,1,3,1,2,1,1,4,1,3000,2,1,1,199511
2,196408,1,1,1,2,1,1,6,3,4000,2,2,-1,198511
2,198510,1,3,1,2,1,1,4,1,1500,2,2,-1,200603
2,197405,1,2,1,2,1,1,4,1,1300,2,2,-1,201109
1,195812,1,4,1,2,1,1,6,3,1800,2,2,-1,197811
1,196709,1,3,1,2,1,1,8,1,2500,2,2,-1,199101
1,197608,1,3,1,2,1,1,4,2,5000,2,2,-1,200205
1,198808,1,3,2,2,1,1,4,1,5000,2,2,-1,200808
1,196409,1,3,1,2,1,1,8,1,1800,2,1,3,199011
2,198306,1,3,1,2,1,1,15,1,2600,2,2,-1,200605
2,198412,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200710
2,196402,1,3,1,2,1,1,6,3,3000,2,2,-1,198403
2,198009,1,5,1,2,1,1,8,2,2000,2,2,-1,200604
1,196810,1,5,1,2,1,1,15,3,700,6,2,-1,200303
1,197008,1,4,1,2,1,1,11,1,4500,2,1,3,199712
2,198212,1,7,2,2,1,1,12,1,5000,7,1,2,201001
2,198401,2,8,2,2,5,1,-1,-1,-1,2,2,-1,200811
2,198107,1,3,1,2,1,1,7,3,3000,2,2,-1,200211
2,198005,1,6,2,2,1,1,8,3,6000,2,2,-1,200602
1,198704,1,3,1,2,1,1,7,3,4000,2,2,-1,200801
1,198004,1,3,1,2,1,1,7,3,5000,2,2,-1,200307
1,198204,1,2,1,2,1,1,10,1,4000,2,1,1,200401
2,198412,1,6,1,1,1,1,8,1,4000,2,1,2,-1
1,197310,1,3,1,2,1,1,8,1,4000,2,1,3,200002
2,197404,1,4,1,2,1,1,8,1,3000,2,1,2,199602
2,197007,3,4,1,2,4,1,-1,-1,-1,2,2,-1,199304
2,198302,1,3,1,2,1,1,6,3,5000,2,2,-1,200706
2,198007,1,3,1,2,1,1,8,3,4000,2,1,3,200104
2,197809,1,6,2,2,1,1,8,1,3000,7,1,1,200308
1,196810,1,3,1,2,1,1,6,3,2000,2,2,-1,199603
2,198503,1,4,1,2,1,1,8,1,2000,1,2,-1,200704
2,197804,1,4,1,2,1,1,7,3,5000,2,2,-1,200201
2,198208,1,7,2,2,1,1,8,1,4000,2,1,2,200909
2,198511,1,4,2,2,1,1,11,1,3000,1,1,2,201005
2,198705,1,6,2,2,1,2,6,1,2000,4,3,-1,201002
2,198903,1,4,2,1,1,1,6,1,2000,4,3,-1,-1
1,199101,1,3,2,1,1,1,6,1,2000,6,3,-1,-1
1,195604,1,4,1,3,1,2,8,1,1600,4,2,-1,198202
2,196609,1,2,1,2,5,2,-1,-1,-1,5,2,-1,198703
2,197403,1,4,1,2,3,2,-1,-1,-1,9,2,-1,200010
1,196101,1,3,1,2,1,1,8,1,1600,4,2,-1,198012
2,198010,1,3,1,2,1,2,8,1,2000,4,2,-1,200010
1,196511,1,3,2,2,1,2,8,1,2000,4,2,-1,198912
1,196403,1,4,1,2,1,3,8,1,1800,4,2,-1,198802
1,198206,1,5,1,2,1,1,8,1,2300,4,2,-1,200605
1,197307,1,2,1,2,1,3,8,1,2300,4,2,-1,199911
1,196711,1,2,1,2,1,1,8,1,1600,4,2,-1,198706
1,195705,1,4,2,3,1,1,8,1,1600,4,2,-1,199312
1,195708,1,3,1,2,1,3,8,1,1500,4,2,-1,198104
1,196002,1,5,2,2,1,2,8,1,1600,4,2,-1,198102
2,198408,1,3,1,2,1,2,8,1,2500,4,2,-1,200712
2,198906,1,4,2,2,5,1,-1,-1,-1,2,2,-1,201110
1,199010,1,5,2,1,1,1,6,1,2000,4,3,-1,-1
2,197202,3,3,2,2,1,1,6,1,2800,2,2,-1,199810
2,199006,1,5,2,2,1,1,6,1,2800,2,3,-1,-9
1,199412,1,3,2,1,1,1,7,1,2200,4,3,-1,-1
2,198905,1,4,2,2,5,1,-1,-1,-1,2,2,-1,200910
1,199304,1,3,2,2,1,1,7,1,1800,4,3,-1,-9
1,199211,1,5,2,1,1,2,6,1,3000,5,2,-1,-1
2,198904,1,3,2,2,1,1,7,1,2800,2,2,-1,201202
2,198807,1,3,1,2,1,2,8,1,1500,4,3,-1,200604
2,198805,1,3,1,2,1,1,8,1,1250,4,2,-1,200906
2,196510,1,2,1,2,1,2,8,1,1300,9,2,-1,198901
2,198010,20,6,2,2,1,2,13,1,2900,7,1,3,200601
2,196910,1,2,1,2,1,1,8,1,2000,4,2,-1,199401
2,197508,1,2,1,2,1,2,8,1,1500,2,2,-1,199609
2,198611,1,6,2,2,1,1,7,1,4800,2,2,-1,201110
1,197908,1,7,2,2,1,1,13,1,5000,2,1,1,200706
1,198906,1,4,2,1,1,1,6,1,2000,4,3,-1,-1
2,198509,1,5,2,2,1,1,6,1,2600,5,2,-1,200705
1,199001,1,4,2,1,1,1,6,1,2000,4,3,-1,-1
2,198609,1,4,2,2,1,1,6,1,2000,4,3,-1,201002
2,197611,1,7,1,2,1,1,11,1,3000,7,1,1,200601
2,198607,1,3,1,2,3,1,-1,-1,-1,5,2,-1,200805
2,197603,1,4,1,2,1,1,8,1,1800,4,2,-1,200106
2,196803,3,3,1,2,1,1,8,1,1500,2,2,-1,199005
2,198007,1,6,1,2,1,1,13,1,3000,1,1,1,200701
1,197805,1,3,1,2,1,1,8,1,2000,1,1,3,200205
1,197707,1,4,1,2,1,1,8,1,2000,1,2,-1,199805
2,198412,1,7,2,2,5,1,-1,-1,-1,4,2,-1,201005
1,197607,14,6,1,2,1,1,8,1,3000,4,2,-1,200801
1,196003,1,2,1,2,1,1,8,1,1598,1,2,-1,198211
1,196505,1,3,1,2,1,1,8,1,3000,1,1,3,198910
1,196912,1,2,1,2,1,1,8,1,3000,1,2,-1,199011
2,198510,1,7,1,2,5,1,-1,-1,-1,5,1,3,201010
2,198002,1,3,1,2,1,1,8,1,1598,1,1,2,199810
1,198006,1,4,1,2,1,1,8,1,2500,6,2,-1,200510
1,197412,1,4,1,2,1,1,8,1,3000,1,2,-1,199311
1,196310,1,4,2,2,1,1,8,1,3000,1,2,-1,199201
2,197512,14,6,1,2,1,1,13,1,2000,2,2,-1,200801
2,197411,1,3,1,2,5,1,-1,-1,-1,2,2,-1,201006
2,198309,1,4,1,2,5,1,-1,-1,-1,1,1,1,200510
2,197203,1,1,1,2,5,1,-1,-1,-1,2,2,-1,199508
2,197910,1,3,1,2,1,1,8,1,1900,2,2,-1,200204
2,198610,1,3,2,2,5,1,-1,-1,-1,2,2,-1,201102
2,199301,1,4,1,1,1,1,1,4,2000,2,2,-1,-1
2,196510,1,3,1,2,5,1,-1,-1,-1,2,2,-1,198310
1,198112,1,3,1,2,1,1,6,1,4800,2,2,-1,200301
2,196904,1,2,1,2,1,1,6,3,4500,2,2,-1,199402
2,198107,1,3,1,2,1,1,7,1,2500,2,2,-1,200704
2,199010,1,3,1,2,5,1,-1,-1,-1,2,2,-1,201001
1,197904,1,3,1,2,1,1,4,4,5000,2,2,-1,200410
2,197805,1,3,1,2,1,1,8,1,1500,2,2,-1,199802
2,198107,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200401
1,196811,1,3,1,2,1,1,4,4,4000,2,2,-1,199310
2,198001,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200605
1,198003,1,3,1,2,1,1,6,1,3500,2,2,-1,200312
2,198301,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200501
2,197409,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199705
1,198602,1,3,1,2,1,1,6,3,3000,2,2,-1,200502
2,198503,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200802
1,197102,1,3,1,2,1,1,6,1,3800,2,2,-1,199411
1,197808,1,3,1,2,1,1,6,3,4000,2,2,-1,200210
2,198708,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200805
1,199204,1,3,1,1,1,1,8,1,1600,4,2,-1,-1
1,198803,1,3,1,1,1,1,8,1,1600,4,2,-1,-1
1,199204,1,3,1,1,1,1,8,1,1600,4,2,-1,-1
1,198510,1,4,1,1,1,1,8,1,1600,4,2,-1,-1
1,198709,1,3,1,1,1,1,8,1,1600,4,2,-1,-1
1,199412,1,5,2,1,1,1,8,1,1600,4,2,-1,-1
1,199501,1,3,1,1,1,1,8,1,1600,4,2,-1,-1
1,199501,1,3,1,1,1,1,8,1,1600,4,2,-1,-1
1,198904,1,3,1,1,1,1,8,1,1200,4,2,-1,-1
2,197203,1,3,1,2,1,1,8,1,1800,2,3,-1,199505
2,198204,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200805
2,198307,1,3,1,2,1,1,6,4,6000,2,3,-1,200401
2,196904,1,3,1,2,5,1,-1,-1,-1,2,3,-1,199105
2,198604,1,3,1,2,1,1,8,1,2000,2,2,-1,201110
2,196503,1,3,1,2,1,1,6,1,2000,2,2,-1,198403
2,197609,1,3,1,2,1,1,8,1,2000,2,2,-1,200409
1,199004,1,3,1,1,1,1,6,1,2800,4,2,-1,-1
2,197609,1,3,1,2,1,1,6,1,2500,2,2,-1,199610
2,199301,1,3,1,1,1,1,8,1,1800,1,2,-1,-1
2,198709,1,3,1,2,1,1,8,1,2000,2,3,-1,201001
2,198602,1,6,1,2,1,1,8,1,3000,2,2,-1,201005
2,198905,1,3,1,1,1,1,6,1,2000,4,2,-1,-1
2,199305,1,3,1,1,1,1,6,1,2800,4,2,-1,-1
2,198902,1,3,1,1,1,1,6,1,2600,4,2,-1,-1
2,198803,1,3,1,1,1,1,7,1,1800,4,2,-1,-1
2,198307,1,3,1,2,4,1,-1,-1,-1,2,2,-1,200610
2,199109,1,3,1,1,1,1,6,1,2600,1,2,-1,-1
2,198812,1,3,1,1,1,1,7,1,2500,2,2,-1,-1
2,198201,1,4,1,2,5,1,-1,-1,-1,2,3,-1,200701
2,197012,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199210
2,199205,1,3,1,1,1,1,7,1,1800,4,2,-1,-1
2,197702,1,3,1,2,1,1,7,1,2300,2,3,-1,200405
2,198005,1,3,1,2,1,1,10,1,1900,2,3,-1,200305
2,197310,1,3,1,2,1,1,6,1,3000,2,2,-1,199510
2,199011,1,3,1,1,1,1,7,1,2300,1,2,-1,-1
2,199405,1,3,1,1,1,1,8,1,1600,1,2,-1,-1
2,198111,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200412
2,198106,1,4,1,2,1,1,6,3,4000,2,2,-1,199603
2,198111,1,3,1,2,1,1,6,1,1800,2,2,-1,200905
2,198001,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200310
1,198808,1,3,1,1,1,1,6,1,2800,4,2,-1,-1
1,199006,1,3,1,1,1,1,6,1,2000,4,2,-1,-1
1,199102,1,3,1,1,1,1,6,1,2600,4,2,-1,-1
1,198905,1,3,1,1,1,1,6,1,1800,4,2,-1,-1
1,198810,1,3,1,1,1,1,6,1,1200,4,2,-1,-1
1,198803,1,3,1,1,1,1,7,1,1800,4,2,-1,-1
1,199009,10,3,1,1,1,1,6,4,2000,1,2,-1,-1
1,199003,1,3,1,1,1,1,6,1,2600,1,2,-1,-1
1,198809,1,3,1,1,1,1,6,1,2300,2,2,-1,-1
2,197604,1,4,2,2,5,1,-1,-1,-1,2,2,-1,199901
1,199401,1,3,1,1,1,1,8,1,1600,4,2,-1,-1
2,197807,1,3,1,2,1,1,6,2,1500,2,2,-1,199909
2,198612,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200705
2,198606,1,3,1,2,1,1,6,3,3000,2,2,-1,201103
2,197109,1,3,1,2,1,1,6,3,3000,2,2,-1,199305
2,198708,1,2,1,2,5,1,-1,-1,-1,2,2,-1,200905
2,197810,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199901
2,197511,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200212
1,197510,1,3,1,2,1,1,13,1,6000,2,1,3,201107
2,197002,1,3,1,2,1,1,6,1,6000,2,2,-1,199502
2,197908,1,3,2,2,5,1,-1,-1,-1,2,2,-1,200302
2,198612,1,6,2,2,5,1,-1,-1,-1,2,2,-1,200709
2,198112,1,4,2,2,5,1,-1,-1,-1,2,2,-1,200709
2,197802,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200102
2,196312,1,3,1,2,1,1,7,2,5000,2,2,-1,198201
2,197509,1,3,1,2,1,1,1,1,2100,2,2,-1,199509
2,198704,1,3,2,2,1,1,4,1,4000,2,2,-1,200701
2,198009,1,3,1,2,5,1,-1,-1,-1,2,2,-1,201001
2,196908,1,4,2,2,1,1,7,1,1500,1,2,-1,198909
1,199203,1,3,1,1,1,1,8,1,1200,4,2,-1,-1
2,196912,1,3,1,2,1,1,6,3,5000,2,2,-1,199002
1,199107,1,3,1,1,1,1,6,3,2000,2,2,-1,-1
1,195708,1,2,1,1,1,1,8,3,2600,2,2,-1,-1
2,196707,1,2,1,5,5,1,-1,-1,-1,5,2,-1,199001
1,197509,1,3,1,2,1,1,1,2,35000,5,2,-1,199601
1,196405,1,3,2,2,1,1,4,1,4000,2,2,-1,198702
2,199108,1,5,1,1,1,1,6,1,2400,2,2,-1,-1
2,199508,1,4,1,1,1,1,6,1,2500,2,3,-1,-1
1,198903,1,5,1,1,1,1,10,1,2200,4,2,-1,-1
2,197906,1,4,2,2,5,1,-1,-1,-1,2,2,-1,200311
1,198509,1,7,1,1,1,2,9,1,1500,4,1,2,-1
2,198411,4,2,1,2,1,1,7,3,1800,6,2,-1,200311
2,197801,1,3,1,2,1,1,6,3,1800,6,2,-1,199801
1,199606,1,3,1,1,1,2,7,1,2000,1,2,-1,-1
2,198502,3,4,1,2,1,1,6,3,2000,6,2,-1,200706
1,199311,1,5,2,1,1,2,15,1,1200,4,2,-1,-1
1,198910,3,3,1,2,1,2,8,1,2200,2,2,-1,201205
2,197303,1,2,1,2,1,1,15,2,2600,6,2,-1,199912
1,199008,1,3,1,1,1,2,7,1,2000,1,2,-1,-1
1,198303,2,6,2,2,1,1,15,1,3600,1,1,2,201110
2,197410,1,3,1,2,1,1,1,1,1800,4,2,-1,199912
1,198604,1,4,1,2,1,1,6,3,2200,6,2,-1,200709
2,197811,1,3,1,2,1,1,7,3,2000,2,2,-1,200001
1,197702,1,3,1,2,1,1,10,1,6800,2,2,-1,200311
1,198511,1,3,1,2,1,2,15,3,2600,6,2,-1,200311
2,198303,1,5,1,2,1,1,7,3,2500,2,2,-1,200612
2,196708,1,3,1,2,1,1,7,1,2200,4,2,-1,199005
2,196505,1,3,1,2,1,1,6,3,2700,6,2,-1,198402
2,197203,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199811
1,198212,1,4,1,2,1,1,4,2,50000,2,2,-1,200412
2,198004,1,4,2,2,5,2,-1,-1,-1,2,2,-1,200904
1,198309,1,7,2,2,1,2,9,1,4000,2,1,1,201101
2,198601,1,3,2,2,5,1,-1,-1,-1,2,2,-1,200705
2,197308,1,4,1,2,1,1,12,3,8000,2,2,-1,200002
1,198110,1,4,1,2,1,2,9,1,4000,2,2,-1,200610
2,197501,1,6,2,2,1,1,6,2,10000,2,2,-1,199712
1,197301,1,3,1,2,1,1,6,3,3000,2,2,-1,199301
2,197302,1,3,1,2,1,1,8,2,5000,2,2,-1,199010
2,198405,1,6,1,2,1,1,1,1,2000,4,1,3,200804
2,197711,1,3,1,2,4,1,-1,-1,-1,2,2,-1,200007
1,197711,1,5,1,2,1,1,12,1,5000,2,2,-1,201004
2,197407,1,4,1,2,5,1,-1,-1,-1,2,2,-1,200105
1,198202,1,3,1,2,1,1,6,3,8000,2,2,-1,200810
2,197807,1,7,2,2,1,1,15,1,5600,2,1,1,200402
2,197606,1,6,1,2,5,1,-1,-1,-1,2,2,-1,200902
2,198204,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200110
1,197312,1,3,1,2,1,1,10,1,4000,2,2,-1,199811
2,197806,1,3,2,2,4,1,-1,-1,-1,2,2,-1,199802
2,198604,1,3,1,2,1,1,7,4,2100,2,2,-1,200710
1,198809,1,3,2,2,1,1,7,4,3000,2,2,-1,201003
1,197303,1,3,1,4,1,1,4,4,3000,2,2,-1,200412
1,199007,1,3,1,2,1,1,7,4,3000,2,2,-1,200905
1,196806,1,3,1,2,1,1,4,4,4500,2,2,-1,198605
1,197407,1,3,1,2,3,1,-1,-1,-1,2,2,-1,199805
1,196801,1,3,1,2,1,1,8,1,5000,2,3,-1,199005
2,198410,1,3,1,2,1,1,15,3,1800,2,2,-1,200506
2,196610,1,2,1,2,5,1,-1,-1,-1,2,2,-1,199001
2,196808,1,2,1,2,1,1,7,3,4800,2,2,-1,199302
1,197002,1,3,1,2,1,1,4,1,5000,2,2,-1,199001
2,196812,1,3,1,2,5,1,-1,-1,-1,2,1,1,199205
1,196409,1,3,1,2,1,1,4,1,2000,2,2,-1,198511
2,197410,1,3,1,2,1,1,8,1,1500,2,2,-1,199512
1,197405,1,3,1,2,1,1,8,1,1500,2,2,-1,199612
2,197212,1,3,1,2,1,1,8,1,1800,2,2,-1,199005
2,198803,1,3,1,2,1,1,8,1,1300,2,3,-1,200310
1,199206,1,3,1,2,1,1,7,1,1500,2,2,-1,200712
1,197107,1,3,1,2,1,1,8,4,2500,2,2,-1,199507
2,196611,1,3,1,2,1,1,7,4,2300,2,2,-1,198702
2,195411,1,4,2,2,7,2,-1,-1,-1,7,1,2,199702
2,195603,1,6,2,5,7,2,-1,-1,-1,7,2,-1,198312
2,195710,1,7,2,2,5,2,-1,-1,-1,7,2,-1,198010
2,196701,1,4,2,2,7,1,-1,-1,-1,7,2,-1,199003
2,197309,1,3,1,4,1,2,8,1,1200,4,1,1,200201
1,198909,1,4,1,1,1,2,8,1,1900,4,1,2,-1
2,195607,1,4,2,2,7,2,-1,-1,-1,7,2,-1,198101
2,196104,1,6,2,2,7,2,-1,-1,-1,7,2,-1,198804
1,198506,1,7,2,1,1,1,13,1,5000,7,1,2,-1
2,196305,1,4,2,2,7,2,-1,-1,-1,7,2,-1,198407
1,198410,1,7,2,1,1,1,9,1,6000,2,1,2,-1
2,195901,1,3,2,2,7,2,-1,-1,-1,7,2,-1,198505
2,197705,1,7,2,2,1,2,6,1,3500,2,1,1,200511
2,195306,1,4,2,2,7,2,-1,-1,-1,7,2,-1,197411
1,199102,1,5,2,1,1,1,8,1,2000,4,1,1,-1
1,196512,1,3,2,2,1,2,8,1,1500,1,2,-1,199903
1,199102,1,4,2,1,1,1,8,1,1800,4,1,2,-1
1,198406,1,4,2,2,1,1,8,1,2000,2,1,2,200705
2,195912,1,3,2,2,7,2,-1,-1,-1,7,2,-1,198505
2,195801,1,4,2,2,7,2,-1,-1,-1,7,2,-1,198201
2,197905,3,3,1,2,1,3,6,4,2800,7,2,-1,201110
2,198011,1,7,2,3,1,1,15,1,5000,7,1,2,201009
2,198205,1,7,2,2,1,1,15,1,4000,7,1,2,200908
2,198203,1,6,2,2,1,1,12,1,1500,7,1,2,201006
2,198111,14,5,1,2,4,1,-1,-1,-1,7,2,-1,200612
2,198408,1,6,2,2,4,1,-1,-1,-1,7,2,-1,200908
2,198201,1,7,2,2,4,1,-1,-1,-1,7,2,-1,200908
2,198109,10,6,2,2,4,1,-1,-1,-1,7,2,-1,200612
2,198103,1,6,2,2,1,1,15,3,10000,7,1,2,200809
2,197807,1,5,2,2,4,1,-1,-1,-1,7,2,-1,201109
2,197702,1,6,2,2,1,1,6,3,5000,7,2,-1,200606
2,198809,1,7,2,2,1,1,15,1,10000,7,1,2,201102
2,198112,3,7,2,2,1,1,13,1,50000,7,1,2,200808
2,198111,1,7,2,2,1,1,15,1,4000,7,1,2,200804
2,198202,1,7,2,2,1,1,13,1,3500,7,1,2,200808
2,198005,1,7,2,2,4,3,-1,-1,-1,7,2,-1,200906
2,197809,2,6,2,2,1,1,12,1,3100,7,1,2,201009
2,198611,1,7,2,2,1,1,8,1,3250,7,1,2,201002
2,198210,14,7,2,2,4,1,-1,-1,-1,7,2,-1,200707
2,197811,14,7,2,2,1,3,6,1,3500,7,1,2,201108
1,197301,1,3,1,2,1,1,1,1,6000,2,2,-1,199406
2,199205,1,3,1,2,1,2,1,1,800,2,2,-1,-9
1,198803,1,3,1,2,1,1,7,3,2000,2,2,-1,200908
1,197604,1,3,1,2,1,1,7,3,5000,2,2,-1,200701
1,196805,1,3,1,2,1,1,6,3,5000,2,2,-1,199103
2,198810,1,3,1,2,1,1,8,1,1500,2,2,-1,201003
1,198803,1,3,1,1,1,2,1,1,3000,2,2,-1,-1
1,197805,1,3,1,3,2,1,1,2,2000,2,2,-1,200602
1,199310,1,3,1,1,1,2,7,1,1200,4,2,-1,-1
1,196806,1,2,1,2,1,1,4,1,1500,2,2,-1,198808
1,197909,1,3,1,2,1,1,4,1,1900,2,2,-1,200010
2,197701,1,2,1,2,1,2,1,1,1000,2,2,-1,200011
1,197110,1,2,1,2,1,2,1,1,1800,2,2,-1,199310
1,198112,1,2,1,2,1,2,4,1,2000,2,2,-1,200412
2,198603,1,3,1,1,1,2,1,2,2000,2,2,-1,-1
1,196802,1,3,1,2,1,2,1,1,1100,2,2,-1,199212
2,199008,1,3,1,2,1,2,4,1,800,2,2,-1,201201
1,198009,1,3,1,2,1,2,1,3,3000,2,2,-1,200012
1,197802,1,3,1,2,1,1,4,1,3000,4,2,-1,200105
1,198512,1,3,1,2,1,2,4,3,3000,2,2,-1,200510
2,198412,1,3,2,2,5,1,-1,-1,-1,2,2,-1,200811
1,196612,1,3,1,2,1,1,7,3,2000,2,2,-1,198802
2,199401,1,4,1,1,1,3,8,4,1000,7,2,-1,-1
2,196710,20,3,2,2,1,1,7,3,1500,1,2,-1,198801
2,198407,1,2,1,2,5,1,-1,-1,-1,2,2,-1,200301
1,197112,1,3,1,2,1,1,7,3,1500,1,2,-1,199103
1,197409,1,3,1,2,1,1,15,3,1000,1,2,-1,199612
1,196802,1,3,1,2,1,1,6,3,1000,2,2,-1,199410
2,197303,1,2,1,2,1,1,6,3,3000,2,2,-1,199410
2,196708,1,3,1,2,1,1,15,3,1500,2,2,-1,199001
1,197607,1,2,1,2,1,1,15,3,3000,2,2,-1,200001
2,197805,1,3,1,2,1,1,15,3,2500,2,2,-1,200005
2,198310,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200905
2,198007,1,4,2,2,1,1,7,3,3000,2,2,-1,200201
1,199204,1,4,1,1,1,1,1,1,2500,4,1,2,-1
2,196606,1,5,2,2,1,1,1,1,2900,4,2,-1,198701
2,197206,1,7,2,1,1,1,1,1,3000,4,2,-1,-1
1,199210,1,3,1,1,1,1,1,1,2000,4,1,3,-1
2,198607,1,3,1,2,1,1,1,1,1900,4,3,-1,201012
2,196907,1,3,1,2,1,1,1,1,1900,4,1,3,198909
1,197708,1,5,2,2,1,1,6,3,1500,1,2,-1,200307
1,197302,1,2,1,2,1,1,7,3,2000,1,2,-1,199505
1,198005,1,3,1,2,1,1,10,3,2500,2,2,-1,201001
2,196408,1,3,1,2,1,1,1,1,2000,4,1,3,198502
2,198503,1,5,1,2,1,1,1,1,2000,4,1,3,200507
1,199103,1,3,1,1,1,1,1,1,2800,4,1,3,-1
2,197605,1,3,1,2,1,1,1,1,1900,4,2,-1,199601
1,198508,1,3,1,2,1,1,1,1,3000,4,1,2,200611
2,199106,1,4,1,1,1,1,1,1,2200,4,2,-1,-1
1,198609,1,6,2,1,1,1,1,1,2500,4,1,3,-1
1,198412,1,3,1,2,1,1,1,1,3500,4,2,-1,200802
2,198808,1,3,2,1,1,1,1,1,2300,4,2,-1,-1
1,197310,1,4,1,2,1,1,1,1,2700,4,1,3,199701
1,198407,1,3,1,2,1,1,1,1,3200,4,1,3,200509
1,198110,1,5,2,2,1,1,1,1,2500,4,1,2,-9
1,196701,1,5,2,2,1,1,1,1,3000,4,2,-1,199401
1,197312,1,3,1,2,1,1,1,1,3400,4,1,2,199812
2,197601,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199810
2,197306,1,2,1,2,1,1,6,3,1500,1,2,-1,199810
2,197411,1,3,1,2,1,1,7,3,2000,2,2,-1,199705
2,198011,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200102
2,196806,1,3,1,2,5,1,-1,-1,-1,2,2,-1,199202
2,198903,1,3,1,2,1,1,8,4,1500,2,2,-1,201011
2,196208,1,3,1,2,5,1,-1,-1,-1,2,2,-1,198412
2,197609,1,3,1,2,5,1,-1,-1,-1,2,2,-1,200202
2,199210,1,3,1,1,1,1,8,1,2500,1,2,-1,-1
1,199208,1,3,1,1,1,1,4,1,2000,2,2,-1,-1
1,199110,1,3,1,1,1,1,4,1,1800,2,3,-1,-1
2,198311,1,4,1,2,1,1,8,1,2000,2,2,-1,201111
2,198906,1,4,1,2,1,1,8,1,3000,2,2,-1,201112
