procode,gbcode,q101a1,q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101j1,q101k1,q101l1,q101m1,q101a2,q101a3,q101a4,q101a5,q101a6,q201,q202,q203,q204,q205,q206,q207,q208,q209,q211,q212,q213,q301,q302,q304,q305,q306,q307,q308,q309,q310,q311,q312,q313,q314,q315,q316
11,110101,1,2,196212,1,7,2,2,1,1,1,2001,2,2,3,-1,-1,-1,2001,1,8,20,2,1,5000,5,8,2,1,2,198808,1,1,1,2,-1,-1,-1,-1,0,2,2,2,4,2
11,110101,1,2,195401,1,6,2,4,1,1,1,2000,1,3,-1,-1,-1,-1,2000,1,8,48,2,1,6000,7,10,5,2,-1,198805,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,198708,1,3,1,1,1,1,1,2011,2,-1,-1,-1,-1,-1,2005,1,6,48,6,1,2000,7,6,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,199002,1,3,1,1,1,1,1,2012,1,-1,-1,-1,-1,-1,2012,1,8,48,6,1,2100,6,10,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197106,1,4,2,2,1,1,1,1992,2,2,3,-1,-1,-1,1992,1,14,20,2,1,2000,7,4,1,1,3,199705,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,198909,1,3,1,1,1,1,1,2010,1,-1,-1,-1,-1,-1,2010,1,6,48,6,1,2000,7,6,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197510,1,3,2,2,1,1,1,1991,1,2,3,-1,-1,-1,1991,1,8,48,2,1,1600,7,4,4,1,3,200502,1,2,-1,1,200712,7,2,1,1,2,2,2,4,2
11,110101,1,2,198807,1,4,1,1,1,1,1,2009,1,-1,-1,-1,-1,-1,2009,1,6,48,6,1,3800,5,9,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197803,1,5,2,2,1,1,1,2001,1,2,3,-1,-1,-1,1994,1,8,48,6,1,9000,6,11,2,2,-1,200708,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197407,1,3,1,2,1,1,1,2007,2,2,3,3,3,-1,2003,1,6,41,5,3,-9,7,12,2,2,-1,199311,3,2,-1,1,200203,3,1,2,0,1,2,1,1,1
11,110101,1,2,198109,1,4,1,2,5,1,1,2002,1,2,3,-1,-1,-1,2002,4,-1,-1,-1,-1,-1,-1,-1,2,2,-1,200804,1,2,-1,1,201007,3,3,2,0,1,1,2,1,1
11,110101,1,2,196702,1,4,2,2,5,1,1,2001,1,2,3,3,-1,-1,2001,4,-1,-1,-1,-1,-1,-1,-1,5,2,-1,198712,2,2,-1,1,199910,3,1,2,0,1,2,2,4,2
11,110101,1,1,199010,1,6,1,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2007,1,8,48,6,1,2200,5,8,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,199011,1,4,1,1,1,1,1,2009,1,-1,-1,-1,-1,-1,2009,1,6,48,6,3,5000,6,8,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,196901,1,3,1,2,1,1,1,1993,1,2,3,3,-1,-1,1992,1,6,41,5,3,1500,7,12,4,2,-1,199212,2,2,-1,1,200606,3,2,2,0,1,1,2,1,1
11,110101,1,2,197210,1,3,1,2,1,1,1,2000,1,2,3,3,-1,-1,2000,1,6,41,5,2,-9,7,10,2,2,-1,199201,2,2,-1,1,199407,2,2,2,0,2,2,2,4,1
11,110101,1,1,196307,1,2,1,2,1,1,1,2000,1,2,3,3,-1,-1,2000,1,6,42,5,3,900,7,12,2,2,-1,198902,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,196803,1,3,1,2,1,1,1,1994,1,2,3,-1,-1,-1,1994,1,14,45,2,1,2060,7,8,5,1,3,199104,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,199512,1,3,1,1,1,1,1,2011,2,-1,-1,-1,-1,-1,2011,1,8,48,6,1,2000,7,11,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,199111,1,5,1,1,1,1,1,2006,1,-1,-1,-1,-1,-1,2006,1,8,48,6,1,4000,6,11,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,196911,1,3,1,3,1,1,1,1997,1,2,3,3,3,-1,1997,1,6,41,6,2,30000,7,14,1,2,-1,200612,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197012,1,2,1,2,1,1,1,2007,1,2,3,3,-1,-1,2007,1,6,41,5,3,3000,7,12,2,2,-1,199302,2,-1,-1,1,200101,3,1,2,0,3,3,2,3,1
11,110101,1,2,196710,1,2,1,2,5,1,1,2010,1,2,3,3,-1,-1,1995,4,-1,-1,-1,-1,-1,-1,-1,1,2,-1,198802,2,-1,-1,1,199504,2,1,2,0,2,2,2,4,1
11,110101,1,1,197709,1,3,1,2,1,1,1,2007,1,2,3,-1,-1,-1,1995,1,6,41,5,3,3000,7,15,2,2,-1,199910,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,199503,1,4,1,1,6,1,1,2005,2,5,5,-1,-1,-1,2005,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197809,1,3,1,2,1,1,1,1998,1,2,3,-1,-1,-1,1998,1,8,44,5,4,3000,7,13,2,2,-1,199605,1,2,-1,1,201005,7,2,7,0,2,2,2,4,1
11,110101,1,2,197610,1,6,2,2,1,1,1,2001,1,2,3,-1,-1,-1,1996,1,12,48,11,1,7000,5,9,5,1,2,200410,1,2,-1,1,200709,7,2,6,0,3,3,2,3,1
11,110101,1,2,197710,1,3,1,2,1,1,1,2006,1,2,3,3,-1,-1,2006,1,6,41,5,3,2000,7,10,1,2,-1,200202,2,-1,-1,1,200704,2,1,2,0,2,2,2,4,1
11,110101,1,2,197805,1,5,2,2,5,1,1,2008,1,2,3,-1,-1,-1,2008,4,-1,-1,-1,-1,-1,-1,-1,2,2,-1,200310,1,2,-1,1,200408,7,2,7,1,2,2,2,3,1
