@relation 2011CombData-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4_predicted

@attribute predictedrate numeric
@attribute rate numeric
@attribute dis numeric
@attribute orgGDP numeric
@attribute Population numeric
@attribute Birth_Rate numeric
@attribute Avg_Life numeric
@attribute GDP_PC numeric
@attribute Unemploy_Rate numeric
@attribute Flat_Rates numeric
@attribute Price_Rates numeric
@attribute City_Income numeric
@attribute Country_income numeric
@attribute Green_Rate numeric
@attribute Disasters numeric
@attribute Stu_Rate_H numeric
@attribute Low_Income numeric
@attribute Low_Income_Insurance numeric

@data
0.000986,0,1827,50760,36128,10.39,74.87,34197,4.1,4486.39,105.8,18373.9,6897.9,6.21,580,2991,137.2,252
0.002487,0,2364,85213,36102,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212
0.018169,0,631,33043,41370,14.43,69.96,29522,3.8,3248.08,106.1,15603.3,4608.5,0.39,19,1082,23.5,232
0.001334,0.000505,1400,26150,39430,9.88,75.7,34500,3.5,4733.84,105.3,20249.7,6480.4,4.39,133,2522,56.9,256
0.04253,0.020963,3006,34500,75482,8.29,80.18,81658,1.4,16851.95,105.6,32903,14735.7,6.35,13,5613,11.7,430
0.091394,0.43951,734,25326,45060,10.45,76.49,50807,2.5,7879.17,105.3,26897.5,9371.7,41.06,100,1978,40,254
0.001755,0,3202,30087,39430,9.88,75.7,34500,3.5,4733.84,105.3,20249.7,6480.4,4.39,133,2522,56.9,256
0.080004,0.029167,294,50760,33610,6.53,76.18,38460,3.7,4363.89,105.2,17796.6,7510,3.87,15,2807,115.6,228
0.030903,0,1539,82560,45060,10.45,76.49,50807,2.5,7879.17,105.3,26897.5,9371.7,41.06,100,1978,40,254
0.001614,0.03787,2626,29880,34004,12.71,69.54,19265,4.1,3635.38,104.9,18575.6,4722,3.19,346,1520,93.1,206
0.003679,0.000674,1688,25659,36102,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212
0.001372,0,3431,20077,33032,13.71,75.11,25326,3.5,3772.47,105.9,18854.1,5231.3,6.45,411,1688,57.3,228
0.039418,0.006969,2134,28898,75591,6.97,80.26,82560,3.5,14603.24,105.2,36230.5,16053.8,12.23,0,3556,32.4,450
0.032304,0,1118,82560,35309,13.02,74.97,33969,3.8,3982.85,105.7,18292.2,7119.7,7.11,18,2006,88.1,265
0.017101,0,3260,20077,41118,8.94,74.44,57974,3.8,3782.93,105.6,20407.6,6641.6,4.11,8,1920,84.8,299
0.048799,0.019908,1892,25326,75591,6.97,80.26,82560,3.5,14603.24,105.2,36230.5,16053.8,12.23,0,3556,32.4,450
0.016742,0.004594,2096,25326,35309,13.02,74.97,33969,3.8,3982.85,105.7,18292.2,7119.7,7.11,18,2006,88.1,265
0.001334,0.008284,1500,29880,39430,9.88,75.7,34500,3.5,4733.84,105.3,20249.7,6480.4,4.39,133,2522,56.9,256
0.001211,0,1876,50760,42703,13.65,73.38,33043,4.4,3732.19,106.3,17578.9,5410,1.84,4,1912,20.8,212
0.080004,0.049089,256,32819,33610,6.53,76.18,38460,3.7,4363.89,105.2,17796.6,7510,3.87,15,2807,115.6,228
0.074599,0,1240,85213,45162,9.47,77.73,59249,3.1,9838.06,105.4,30970.7,13070.7,10.52,679,2218,8.8,367
0.003276,0.001183,1209,29880,37618,11.5,76.46,47335,3.4,4447.73,105,22791.8,8342.1,16.56,27,2191,60.6,286
0.001713,0,2820,28898,32092,12.08,72.23,19595,3.1,3318.24,105.9,14988.7,3909.4,1.63,115,2041,88.1,189
0.001325,0,1238,47335,42703,13.65,73.38,33043,4.4,3732.19,106.3,17578.9,5410,1.84,4,1912,20.8,212
0.087934,0.058501,1622,19595,75482,8.29,80.18,81658,1.4,16851.95,105.6,32903,14735.7,6.35,13,5613,11.7,430
0.017206,0.004068,1259,33969,33610,6.53,76.18,38460,3.7,4363.89,105.2,17796.6,7510,3.87,15,2807,115.6,228
0.002651,0,1622,81658,32092,12.08,72.23,19595,3.1,3318.24,105.9,14988.7,3909.4,1.63,115,2041,88.1,189
0.001868,0,1801,26133,34586,13.35,74.7,29880,4.2,3790.26,105.5,18844.1,6567.1,4.96,8844,2054,145.1,214
0.001755,0,3026,81658,39430,9.88,75.7,34500,3.5,4733.84,105.3,20249.7,6480.4,4.39,133,2522,56.9,256
0.018723,0,4421,20077,38154,5.71,76.38,50760,3.7,4732.65,105.2,20466.8,8296.5,9.6,291,2712,118.6,296
0.00124,0,2847,38460,37330,9.79,74.75,26133,4.2,4917.88,105.3,17899.1,6128.6,7.74,1997,1904,189.3,210
0.005601,0.001828,2598,19595,33610,6.53,76.18,38460,3.7,4363.89,105.2,17796.6,7510,3.87,15,2807,115.6,228
0.001435,0,4421,50760,49464,15.39,68.17,20077,3.2,3474.51,105,16195.6,4904.3,0.29,139,1446,4.3,306
0.082727,0.032258,836,82560,38588,11.41,75.76,47377,3.7,7764.29,105.3,24907.4,8778.6,5.08,102,2200,18.1,218
0.076165,0.008477,1095,31357,45487,9.59,76.63,62290,3.2,6554.41,105.3,26340.7,10805,23.75,52,2824,40.9,342
0.001271,0,3960,20077,34586,13.35,74.7,29880,4.2,3790.26,105.5,18844.1,6567.1,4.96,8844,2054,145.1,214
0.001868,0,3899,20077,36244,14.72,76.3,28898,1.7,8943.45,106.1,18369,6446,4.98,107,2079,17.1,250
0.001166,0,2673,25326,42703,13.65,73.38,33043,4.4,3732.19,106.3,17578.9,5410,1.84,4,1912,20.8,212
0.015288,0.007764,1847,34500,41118,8.94,74.44,57974,3.8,3782.93,105.6,20407.6,6641.6,4.11,8,1920,84.8,299
0.041208,0.06432,2402,19265,45487,9.59,76.63,62290,3.2,6554.41,105.3,26340.7,10805,23.75,52,2824,40.9,342
0.001916,0,993,25326,39430,9.88,75.7,34500,3.5,4733.84,105.3,20249.7,6480.4,4.39,133,2522,56.9,256
